revenue,year,revenue_growth_yoy,revenue_growth_qoq,revenue_cagr_2yr,revenue_growth_vs_industry,revenue_growth_trend,operating_margin_change_1yr,operating_margin_momentum,roe_change_1yr,roe_trend_2yr,ocf_to_ni_ratio,fcf_to_ni_ratio,quality_of_earnings,reinvestment_rate,growth_capex_pct,revenue_growth_velocity,revenue_velocity_qoq,revenue_growth_acceleration,growth_momentum_positive,growth_deceleration_warning,operating_margin_trend_1yr,operating_margin_velocity_qoq,operating_margin_acceleration,margin_momentum_positive,is_margin_expanding,revenue_growth_trend_4q,is_growth_accelerating,net_income,gross_profit,cost_of_revenue,operating_income,eps,gross_margin,net_margin,cost_efficiency,eps_to_revenue,net_income_growth_yoy,gross_profit_growth_yoy,eps_growth_yoy,gross_margin_change_1yr,net_margin_trend_1yr,is_profitability_improving,symbol,date,company,operating_cash_flow,free_cash_flow,capital_expenditures,total_debt,total_equity,total_assets,cash,interest_expense,ebitda,current_assets,current_liabilities,inventory,operating_margin,gross_margin_trend_2yr,operating_margin_trend_2yr,net_margin_trend_2yr,roe_decomposed,earnings_stability,operating_leverage,year_x,year_y
102466000000,2025,7.938480985989682,8.964651835467263,14.489709267246198,0,0,0.4752055232328729,1.6559530862544847,11.375291245837332,0.029130117733221654,1.0823563678730066,0.9643195223185029,1.0823563678730066,0.10905543595263724,50,-1.6899741943034128,8.964651835467263,-6.243115059918216,0,0,0.4752055232328729,1.6559530862544847,2.6943698145164774,1,0,1.8690716137132135,0,27466000000,48341000000,54125000000,32427000000,1.85,47.177600374758455,26.804988971951673,52.822399625241545,0.01805476938691859,86.38707926167211,10.168873493014875,90.72164948453609,0.9551206528581062,11.28197201208651,1,AAPL,2025-09-27,Apple,29728000000,26486000000,-3242000000,112377000000,73733000000,359241000000,33539000000,0,35931000000,147957000000,165631000000,5718000000,31.646594968086976,2.006758568237636,1.512960696930083,1.155253782338498,0.3725062048200941,0.2678390421566526,1.2072832511118854,2025,2025
94036000000,2025,9.628455180293095,-1.387388710032611,14.96265144198443,0,1,0.43493347515004643,-1.0384167282619927,3.4456860656464414,0.10313434263648855,1.189169582657677,1.0414355210378083,1.189169582657677,0.12423296372052967,50,4.553140865614803,-1.387388710032611,3.42932142862833,1,0,0.43493347515004643,-1.0384167282619927,2.3910926423353978,1,0,4.762751059115057,1,23434000000,43718000000,50318000000,28202000000,1.57,46.490705687183635,24.920243311072355,53.509294312816365,0.01669573354885363,9.259604625139882,10.181964816775047,12.142857142857144,0.233550505724736,-0.08412849022635882,0,AAPL,2025-06-28,Apple,27867000000,24405000000,-3462000000,101698000000,65830000000,331495000000,36269000000,0,31032000000,122491000000,141120000000,5925000000,29.99064188183249,1.9744031333002354,1.8746963092564783,0.6149509409365308,0.35597751784900505,0.27467845550279746,1.1675514316004214,2025,2025
95359000000,2025,5.075314314678292,-23.283185840707965,0.5514783415580649,0,1,0.286273247627129,-3.4295093705973905,5.241006343157519,0.6763453660968146,0.9665859564164649,0.8426553672316384,0.9665859564164649,0.12821476285905142,50,1.123819436986473,-23.283185840707965,3.2417339315711224,1,0,0.286273247627129,-3.4295093705973905,-6.716687906435162,0,0,9.380641405656398,1,24780000000,44867000000,50492000000,29589000000,1.65,47.050619238876244,25.986010759341017,52.949380761123756,0.017303033798592687,4.840074462684041,6.141326204726649,7.843137254901955,0.4725446848670103,-0.05830733482666872,0,AAPL,2025-03-29,Apple,23952000000,20881000000,-3071000000,98186000000,66796000000,331233000000,28162000000,0,32250000000,118674000000,144571000000,6269000000,31.029058610094484,2.7889464563885795,1.1690898218706067,0.510452954288084,0.3709802982214504,0.28918746837583753,1.1927859173868613,2025,2025
124300000000,2024,3.951494877691819,30.938586326767094,6.099663690526991,0,0,0.6948213781411781,3.2871785358377714,8.64986369483524,0.5362291294410585,0.8239746765758327,0.7430498210845031,0.8239746765758327,0.09821279438784032,50,-2.1179144945846495,30.938586326767094,-3.32161974568308,0,0,0.6948213781411781,3.2871785358377714,1.6714974976661132,1,0,1.884984131153078,0,36330000000,58275000000,66025000000,42832000000,2.41,46.882542236524536,29.227674979887368,53.117457763475464,0.01938857602574417,7.117584620827921,6.234618539786707,10.045662100456632,1.0075683707499152,0.8638865625760594,1,AAPL,2024-12-28,Apple,29935000000,26995000000,-2940000000,96799000000,66758000000,344085000000,30299000000,0,45912000000,133240000000,144365000000,6911000000,34.458567980691875,3.9202874266162127,3.7161264080609797,3.6220618552821477,0.5442044399173133,0.29019874564598336,1.5413670957474994,2024,2024
94930000000,2024,6.069409372276469,10.670692609907096,5.306946508996524,0,1,1.0377551736972102,1.6156810381716582,-11.06349224871834,-2.585422700278405,1.8194218241042346,1.6220819761129208,1.8194218241042346,0.10846294431390101,50,1.2037052510984303,10.670692609907096,-7.967325961057714,0,1,1.0377551736972102,1.6156810381716582,2.8027579939565683,1,0,6.78824326396329,1,14736000000,43879000000,51051000000,29591000000,0.97,46.22247972190035,15.523016959865163,53.77752027809966,0.01021805540924892,-35.80763199163617,8.538847799737791,-34.013605442176875,1.0516379153795299,-10.126718229748011,0,AAPL,2024-09-28,Apple,26811000000,23903000000,-2908000000,119059000000,56950000000,364980000000,29943000000,0,32502000000,152987000000,176392000000,7286000000,31.171389444854103,3.963255796268598,3.5561874392187995,-7.4630279006943745,0.25875329236172084,0.24796626979283537,1.6018484049023511,2024,2024
85777000000,2024,4.865704121178038,-5.483014335614245,3.3968586892320296,0,1,1.439762834106432,-1.1870769557849101,-0.832305651486223,-1.6862364561131582,1.3454867586721373,1.2451976874300634,1.3454867586721373,0.07453738997851549,50,9.171031212156144,-5.483014335614245,15.54286904967299,1,0,1.439762834106432,-1.1870769557849101,1.8338842842984313,1,0,6.266396029229004,1,21448000000,39678000000,46099000000,25352000000,1.4,46.2571551814589,25.004371801298714,53.7428448185411,0.016321391515208037,7.881897288868767,8.966577870540737,10.236220472440927,1.7408526275754994,0.6990794311628896,1,AAPL,2024-06-29,Apple,28858000000,26707000000,-2151000000,101304000000,66708000000,331612000000,25565000000,0,28202000000,125435000000,131624000000,6165000000,29.555708406682445,3.00084784892114,1.7395582602245554,1.5686987579881624,0.3215206571925406,0.19863773245959837,2.1036364752713923,2024,2024
90753000000,2024,-4.305327090978106,-24.103700606314028,-6.707580336766794,0,0,0.8828165742434777,-3.0209612400833414,-7.011665989785609,-0.48255470849265863,0.959976307327805,0.875528854290066,0.959976307327805,0.0879682679594535,50,-6.371837837516847,-24.103700606314028,-9.15718247574241,0,0,0.8828165742434777,-3.0209612400833414,-6.651073571477145,0,0,-1.7949958752869977,0,23636000000,42271000000,48482000000,27900000000,1.53,46.578074554009234,26.044318094167686,53.42192544599077,0.016858946811675646,-2.168874172185431,0.7027825424051892,0.0,2.3164017715215692,0.5687602891147527,1,AAPL,2024-03-30,Apple,22690000000,20694000000,-1996000000,104590000000,74194000000,337411000000,32695000000,0,30736000000,128416000000,123822000000,6232000000,30.742785362467355,2.8282030517168337,-0.07507684687083227,0.33449675738033235,0.3185702347898752,0.21014944293163598,0.3428526830191727,2024,2024
119575000000,2023,2.066510746538741,33.606337571789325,-3.5257573923917818,0,1,3.0213050299198017,3.6301123313938035,-7.110763683924333,0.4798210044362724,1.1762884774147895,1.10576129260526,1.1762884774147895,0.05995738814387768,50,2.785344638225562,33.606337571789325,2.1034866218614168,1,0,3.0213050299198017,3.6301123313938035,1.6124236328129236,1,1,7.545553870505017,1,33916000000,54855000000,64720000000,40373000000,2.19,45.87497386577462,28.36378841731131,54.125026134225386,0.01831486514739703,13.06087072471498,8.986330763728834,15.873015873015884,2.9127190558662974,2.7581752927060883,1,AAPL,2023-12-30,Apple,39895000000,37503000000,-2392000000,108040000000,74100000000,353514000000,40760000000,0,43221000000,143692000000,133973000000,6511000000,33.7637466025507,2.111207679159591,0.2908352305711901,0.42397640391827096,0.4577058029689609,0.2085177080411068,5.854022862114072,2023,2023
89498000000,2023,-0.7188338916868209,9.41477071286232,7.363243761996152,0,1,2.5184322655215894,2.01768869858088,-3.9535845776293215,-0.8431427019973743,0.9408433525004356,0.8466196201428821,0.9408433525004356,0.10014816186683952,50,0.6818580163641452,9.41477071286232,-0.42778129127599707,0,1,2.5184322655215894,2.01768869858088,3.7617119142287443,1,1,-8.859428901283739,0,22956000000,40427000000,49071000000,26969000000,1.47,45.17084180652082,25.649735189613175,54.82915819347919,0.016424948043531697,10.786158969161729,6.121538259614123,13.953488372093027,2.911617880889068,2.6636903290536367,1,AAPL,2023-09-30,Apple,21598000000,19435000000,-2163000000,123930000000,62146000000,352583000000,29965000000,1002000000,30653000000,143566000000,145308000000,6331000000,30.133634271156893,2.9755443017223584,1.5995651732682177,0.9964242491141349,0.3693882148489042,0.21550100351658147,-11.595643925304982,2023,2023
81797000000,2023,-1.400691908050966,-13.748998270698888,0.4457597563671145,0,1,0.2997954261181235,-1.7440232156478643,-0.4745922653104486,0.13401475993131803,1.3268950254011367,1.2216186308535788,1.3268950254011367,0.0793404094010614,50,1.1096393076401423,-13.748998270698888,-1.8590726006350256,0,1,0.2997954261181235,-1.7440232156478643,-0.8615504312408468,0,0,-3.2733740801166977,0,19881000000,36413000000,45384000000,22998000000,1.27,44.5163025538834,24.305292370135824,55.48369744611661,0.015526241793708817,2.257998148338647,1.4713668663787205,5.833333333333335,1.2599952213456405,0.8696193268252728,1,AAPL,2023-07-01,Apple,26380000000,24287000000,-2093000000,109280000000,60274000000,335038000000,28408000000,998000000,26050000000,122659000000,124963000000,7351000000,28.115945572576013,1.2235747006525628,-1.510500383658485,-2.396085432747494,0.3298437137074029,0.22524285959255705,0.24131896429041563,2023,2023
