total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,year,debt_to_equity,debt_to_assets,interest_coverage,net_debt,net_debt_to_ebitda,current_ratio,quick_ratio,debt_to_equity_trend_1yr,net_debt_to_ebitda_trend_1yr,current_ratio_trend_1yr,is_deleveraging,debt_to_equity_yoy,net_debt_to_ebitda_yoy,interest_coverage_yoy,current_ratio_yoy,debt_to_equity_velocity_qoq,net_debt_velocity_qoq,interest_expense_velocity_qoq,debt_to_equity_trend_2yr,net_debt_to_ebitda_trend_2yr,debt_to_equity_cagr_3yr,debt_to_equity_acceleration_qoq,leverage_momentum_3q,is_leverage_increasing,is_liquidity_deteriorating,debt_growth_faster_than_equity,symbol,date,company,operating_cash_flow,free_cash_flow,net_income,revenue,capital_expenditures,gross_profit,eps,cost_of_revenue,gross_margin,net_margin,operating_margin,eps_to_revenue,cost_efficiency,roa,roic,roa_yoy,roa_trend_2yr,roic_yoy,asset_turnover,asset_turnover_yoy,equity_multiplier,fcf_to_debt,ebitda_to_interest,year_x,year_y
4967000000,5066000000.0,15217000000.0,4441000000.0,69000000,-983000000,-900000000,9275000000.0,3425000000.0,1638000000.0,2025,0.9804579549940782,0.3264112505750148,-14.246376811594205,526000000.0,-0.5844444444444444,2.708029197080292,2.2297810218978102,-0.080399817509736,0.8618642803877704,-2.3809516616884614,1,-7.578755568710971,-59.59061613817995,6.025216647450438,-46.7864141714323,-0.063543363397484,-997000000.0,0.0,0.6570121627272094,-4.872323232323232,104.39487968578752,-0.1433852475235367,0.9962062358837166,0,1,0,RIVN,2025-09-30,Rivian,26000000,-421000000,-1173000000,1558000000,-447000000,-49000000,-0.96,1607000000,-3.1450577663671373,-75.28883183568678,-63.093709884467266,-0.6161745827984595,103.14505776636712,-7.708483932443977,-7.348250772450912,-0.0560019595308936,0.5985165537008932,1.8907153016090472,0.1023854899125977,67.07343903128937,3.003750493485985,-0.0847594121199919,-13.043478260869565,2025,2025
6335000000,6068000000.0,15597000000.0,4812000000.0,69000000,-1114000000,-690000000,10120000000.0,2943000000.0,2103000000.0,2025,1.0440013183915622,0.4061678527922036,-16.144927536231883,1523000000.0,-2.2072463768115944,3.438668025823989,2.724091063540605,0.12012334831236,-1.7835309617918316,-1.8139685992958576,0,13.002079517283228,420.926616915423,-11.93675889328063,-34.534439154249874,0.0798418841260527,217000000.0,-3000000.0,0.758274837257876,-8.64842284739983,119.94911242451953,-0.0095081570318018,0.960990048588242,1,1,1,RIVN,2025-06-30,Rivian,64000000,-398000000,-1117000000,1303000000,-462000000,-206000000,-0.97,1509000000,-15.809669992325404,-85.72524942440522,-85.49501151189563,-0.7444359171143515,115.8096699923254,-7.161633647496313,-6.7362734822220425,-24.53004596866275,-0.2248483685736904,-14.317867378127003,0.0835417067384753,10.768511680703853,2.5703691496374423,-0.0628255722178374,-10.0,2025,2025
5999000000,6222000000.0,15505000000.0,4693000000.0,72000000,-655000000,-267000000,10394000000.0,2788000000.0,2589000000.0,2025,0.9641594342655094,0.3869074492099322,-9.09722222222222,1306000000.0,-4.891385767790262,3.7281205164992826,2.7994978479196555,0.3269057473154536,-5.659275676047143,-0.9840827321471148,0,51.299153541197896,-736.9905002259719,-54.0234725965858,-20.883707264320517,0.0893500411578546,863000000.0,-9000000.0,0.7045455588927265,-11.964469546756394,122.00590599632362,0.275398420554014,0.9666088666256596,1,1,1,RIVN,2025-03-31,Rivian,-188000000,-526000000,-545000000,1240000000,-338000000,206000000,-0.48,1034000000,16.612903225806452,-43.95161290322581,-52.82258064516129,-0.3870967741935484,83.38709677419355,-3.5149951628506932,-4.019720153833565,-61.75315775083485,3.900759880852237,-52.287041372600875,0.0799742018703644,4.511137228265238,2.49196399871424,-0.0876812802133688,-3.7083333333333335,2025,2025
5737000000,6558000000.0,15410000000.0,5294000000.0,81000000,-661000000,-441000000,10583000000.0,2251000000.0,2248000000.0,2024,0.8748093931076548,0.372290720311486,-8.160493827160494,443000000.0,-1.0045351473922903,4.701466015104398,3.702798756108397,0.3151332088827341,-3.331360274726755,-0.2494788984460649,1,56.30634602027116,-143.17192278832974,-62.32030048180164,-5.039015840456129,-0.1860483793961593,-419000000.0,-6000000.0,0.7434955297842256,-7.547794704736354,119.8271285975241,-0.3230281818207714,0.9531817118968904,0,1,1,RIVN,2024-12-31,Rivian,1183000000,856000000,-743000000,1734000000,-327000000,170000000,-0.7,1564000000,9.803921568627452,-42.84890426758939,-38.119953863898495,-0.4036908881199538,90.19607843137256,-4.82154445165477,-4.032126880845873,-46.81402182125988,4.817077163919185,-51.51926380753142,0.1125243348475016,43.56907148831806,2.349801768831961,0.1492069025623148,-5.444444444444445,2024,2024
6258000000,5899000000.0,14262000000.0,5396000000.0,87000000,-1169000000,-596000000,9837000000.0,1933000000.0,2680000000.0,2024,1.0608577725038142,0.438788388725284,-13.436781609195402,862000000.0,-1.4463087248322148,5.088980858768753,3.702534919813761,0.7374119802369454,-5.734187512711003,0.4830357368175342,1,227.98626473660264,-133.73016814096331,-48.67895913154534,10.48722301348015,0.136979802424612,326000000.0,12000000.0,0.9460374034616286,-8.994505446143691,0.0,-0.1496444807045343,0.8739964765110241,1,1,1,RIVN,2024-09-30,Rivian,-876000000,-1153000000,-1100000000,874000000,-277000000,-392000000,-1.08,1266000000,-44.8512585812357,-125.85812356979405,-133.75286041189932,-1.2356979405034323,144.8512585812357,-7.7128032534006445,-7.211894381837625,-7.152969760087036,1.3499103038721314,-6.746199034849609,0.0612817276679287,-24.57351454723742,2.41769791490083,-0.1842441674656439,-6.850574712643678,2024,2024
6299000000,6818000000.0,15354000000.0,5763000000.0,75000000,-1375000000,-1265000000,10957000000.0,2086000000.0,2583000000.0,2024,0.923877970079202,0.4102514002865702,-18.333333333333332,536000000.0,-0.4237154150197628,5.252636625119846,4.0143815915628,0.638151488945516,-6.864891885607999,-0.4030361980991506,0,223.34348794466007,-106.57823018752144,-22.957198443579777,-7.126229021673813,0.2866242831291463,1373000000.0,0.0,0.8257631965435133,-9.129752160426586,0.0,0.2090467804040112,0.7069359470847262,1,0,1,RIVN,2024-06-30,Rivian,-754000000,-1037000000,-1457000000,1158000000,-283000000,-451000000,-1.46,1609000000,-38.946459412780655,-125.82037996545768,-118.73920552677028,-1.2607944732297065,138.94645941278063,-9.48938387390908,-7.861934893649463,36.7980050174324,-1.0019514213782197,22.862362057851684,0.0754200859710824,15.902035773758904,2.251980052801408,-0.1646293062390855,-16.866666666666667,2024,2024
5142000000,8069000000.0,15734000000.0,5979000000.0,75000000,-1484000000,-1090000000,11314000000.0,2401000000.0,2797000000.0,2024,0.6372536869500558,0.3268081860938095,-19.786666666666665,-837000000.0,0.7678899082568807,4.712203248646397,3.5472719700124946,0.3776398115772729,-6.305193870709251,-1.1714459360164495,0,145.46210638203178,-89.14349197247707,-47.53012328448477,-19.91019347431704,0.077577502725135,1904000000.0,2000000.0,0.5491375861833526,-9.433761846732796,0.0,-0.1586528892329168,0.5067918878139485,1,1,1,RIVN,2024-03-31,Rivian,-1269000000,-1523000000,-1446000000,1204000000,-254000000,-527000000,-1.48,1731000000,-43.77076411960133,-120.09966777408638,-123.25581395348836,-1.2292358803986712,143.77076411960132,-9.190288547095465,-8.424797517220497,23.92923570067722,-1.7103617968489484,25.81344512806605,0.0765221812635057,110.59228432139692,1.9499318378981287,-0.2961882535978218,-14.533333333333331,2024,2024
5116000000,9141000000.0,16778000000.0,7857000000.0,73000000,-1581000000,-1178000000,12313000000.0,2487000000.0,2620000000.0,2023,0.5596761842249207,0.3049231136011444,-21.65753424657534,-2741000000.0,2.326825127334465,4.950944913550463,3.897466827503015,0.4283623209014915,-4.216434430009599,-0.4657217531162043,0,326.2125643553908,-64.439357678806,-60.18392032663029,-8.597940057529929,0.2362303919580519,1787000000.0,18000000.0,0.4773250517046788,-4.778075990464331,0.0,0.1985110808248693,0.3896161525418252,1,0,1,RIVN,2023-12-31,Rivian,-1107000000,-1405000000,-1521000000,1315000000,-298000000,-606000000,-1.58,1921000000,-46.08365019011407,-115.66539923954372,-120.22813688212928,-1.2015209125475286,146.08365019011407,-9.065442841816663,-8.316967103878795,-5.946688194826066,1.9734016903444545,-3.5571599192929515,0.0783764453450947,111.32086530752852,1.8354665791488896,-0.274628616106333,-16.136986301369863,2023,2023
3413000000,10552000000.0,16456000000.0,7941000000.0,55000000,-1440000000,-1056000000,12086000000.0,2624000000.0,2530000000.0,2023,0.3234457922668688,0.2074015556635877,-26.181818181818183,-4528000000.0,4.287878787878788,4.605945121951219,3.6417682926829262,0.2086254232246832,-3.2603179334326873,-2.233315190993304,0,181.6972240770566,-43.19333549200633,-64.57927641693144,-32.65433817113754,0.0377193111331826,1385000000.0,1000000.0,1.208114492017354,2.626847511462896,0.0,0.0116067053722793,0.289595382924446,1,1,1,RIVN,2023-09-30,Rivian,-877000000,-1067000000,-1367000000,1337000000,-190000000,-477000000,-1.44,1814000000,-35.67688855646971,-102.24382946896036,-107.70381451009725,-1.0770381451009725,135.67688855646972,-8.30700048614487,-7.733619763694952,-8.338706352706582,6.219389711781613,-0.6167375275037412,0.0812469615945551,188.35092358455657,1.5595147839272177,-0.3126281863463229,-19.2,2023,2023
3347000000,11714000000.0,17227000000.0,9260000000.0,54000000,-1285000000,-918000000,12861000000.0,2274000000.0,2161000000.0,2023,0.2857264811336862,0.1942880362222093,-23.796296296296298,-5913000000.0,6.4411764705882355,5.655672823218997,4.705364995602463,0.1876117075979973,-2.264860274818588,-3.3186568972601824,0,191.2165730370404,-26.01482558655056,-66.56258131667967,-36.97944025487604,0.0261126057609032,2023000000.0,16000000.0,0.3657264811336862,0.2261227071473754,0.0,-0.1021874062884503,0.2255514066099661,1,1,1,RIVN,2023-06-30,Rivian,-1361000000,-1616000000,-1195000000,1121000000,-255000000,-412000000,-1.27,1533000000,-36.7528991971454,-106.60124888492416,-114.62979482604818,-1.1329170383586085,136.7528991971454,-6.936785278922622,-6.398977491534427,-18.26992064185268,1.9986638044235487,-7.47208425004512,0.065072270273408,260.5969131002509,1.4706334300836603,-0.4828204362115327,-17.0,2023,2023
