operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year_x,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,symbol,date,cost_of_revenue,inventory,current_assets,current_liabilities,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dio,working_capital_to_revenue,company,year_y,label,label_name
168500000,-276600000,-108100000,181600000,7737000000,-78200000,0,0,2000,-0.5952643171806168,-1.3971823704278143,0,26.314721468269354,,,,,,,COST,2000-02-13,6737600000,2347600000,3495900000,3049300000,2.177846710611348,,-1.3971823704278143,3.5750290810391627,,127.17792685822845,0.057722631510921545,Costco Wholesale Corporation,2000,1,HOLD
172447000,-222817000,-50370000,120329000,6894608000,-9502000,0,0,2000,-0.41860233193993135,-0.7305709041036126,0,27.860639067514782,,,0.6666114663242018,-53.404255319148945,2.3424332344213594,,COST,2000-05-07,6026139000,2367481000,3447023000,2961623000,2.5011864343846666,,-0.7305709041036126,3.2317573384882796,,143.39705157813322,0.07040284233708428,Costco Wholesale Corporation,2000,1,HOLD
489411000,-490504000,-1093000,200182000,10589189000,122462000,0,0,2000,-0.005460031371451978,-0.010321848065985035,0,16.10824587227596,,,0.7202490560376276,-97.83005757395274,183.80371940364287,0.053637589713425804,COST,2000-08-31,9243466000,2490088000,3470118000,3404359000,4.621798704320038,,-0.010321848065985035,4.632120552386023,,98.32698254096462,0.006210012872562762,Costco Wholesale Corporation,2000,1,HOLD
118070000,-380406000,-262336000,129521000,7637278000,-84653000,0,0,2000,-2.025432169300731,-3.434941087649291,0,16.77118012464649,,0.0,-3.424619239583306,23901.46386093321,-75.8750824971241,-4.144868295620934,COST,2000-11-26,6648941000,2993716000,4074905000,4168181000,1.5459696504435219,,-3.434941087649291,4.980910738092812,,164.34291415730718,-0.012213251894195813,Costco Wholesale Corporation,2000,1,HOLD
322737000,-347916000,-25179000,176577000,8306309000,59213000,0,0,2001,-0.14259501520583087,-0.3031310296787658,0,19.561004773600416,1.0940513407490484,1.0,3.1318100579705255,-90.40200353744817,173.34377911408487,6.556429297553832,COST,2001-02-18,7207042000,2723367000,3760785000,3913416000,3.8854441846553027,78.4076062710865,-0.3031310296787658,4.188575214334069,0.6135461332949061,137.92467908470633,-0.018375309659200013,Costco Wholesale Corporation,2001,1,HOLD
312754000,-249973000,62781000,105257000,7718895000,124475000,0,0,2001,0.5964543925819661,0.8133418060486637,0,15.160355206282745,1.5439127101522763,1.0,1.1164728357274294,-349.33873465983555,-3.093230711074346,-2.015337222243096,COST,2001-05-13,6754347000,2675311000,3693205000,3887641000,4.051797569470759,61.9950241920918,0.8133418060486637,3.2384557634220963,0.006698424933816671,144.57186090676123,-0.025189615871183634,Costco Wholesale Corporation,2001,1,HOLD
279002000,-469254000,-190252000,190734000,11134555000,-59158000,0,0,2001,-0.9974729204022356,-1.7086628069105592,0,11.002329684482234,-1.6983409588445741,1.0,-2.522004612959223,-403.0407288829423,-10.791868369389357,-3.6384774486866522,COST,2001-08-31,9987810000,2738504000,3882457000,4112189000,2.5057310328073283,-45.78450527355944,-1.7086628069105592,4.2143938397178875,-0.4177267126681352,100.07739033882304,-0.020632346779911725,Costco Wholesale Corporation,2001,1,HOLD
224732000,-309560000,-84828000,129656000,8466553000,18049000,0,0,2001,-0.6542543345468008,-1.0019189627703269,0,11.602154973812816,2.4330221248789643,0.0,0.7067438441402323,-55.41282089018775,-19.451473466140023,3.228748457099455,COST,2001-11-25,7434397000,3283817000,4688711000,5010480000,2.6543505958091798,71.69487092115136,-1.0019189627703269,3.656269558579507,-1.3246411795133053,161.2226526240124,-0.03800472281931029,Costco Wholesale Corporation,2001,1,HOLD
347405000,-215610000,131795000,192556000,9382852000,66578000,0,0,2002,0.6844502378528844,1.4046368843929329,0,10.92648216128741,1.7077679140716988,1.0,2.4065558471632595,-255.36733154147217,54.586351743409935,1.6998120030230273,COST,2002-02-17,8212030000,3008636000,4312756000,4558474000,3.7025522730189073,-4.707104334652046,1.4046368843929329,2.297915388625974,-1.8906598257080947,133.7248086039627,-0.02618798633933478,Costco Wholesale Corporation,2002,1,HOLD
278179000,-236432000,41747000,130370000,8616747000,77329000,0,0,2002,0.3202193756232262,0.4844867790594292,0,20.07046394654502,-0.32885502698923447,1.0,-0.9201501053335037,-68.3242915133351,-19.92659863847671,-3.3267059524967633,COST,2002-05-12,7583251000,3025324000,4385553000,4328577000,3.2283528807332975,-20.322947398505377,0.4844867790594292,2.743866101673868,-0.49458966174822816,145.61607679872392,0.006612240094782869,Costco Wholesale Corporation,2002,1,HOLD
