total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,year_x,debt_to_equity,debt_to_assets,interest_coverage,net_debt,net_debt_to_ebitda,current_ratio,quick_ratio,debt_to_equity_trend_1yr,net_debt_to_ebitda_trend_1yr,current_ratio_trend_1yr,is_deleveraging,debt_to_equity_yoy,net_debt_to_ebitda_yoy,interest_coverage_yoy,current_ratio_yoy,debt_to_equity_velocity_qoq,net_debt_velocity_qoq,interest_expense_velocity_qoq,debt_to_equity_trend_2yr,net_debt_to_ebitda_trend_2yr,debt_to_equity_cagr_3yr,debt_to_equity_acceleration_qoq,leverage_momentum_3q,is_leverage_increasing,is_liquidity_deteriorating,debt_growth_faster_than_equity,symbol,date,net_income,revenue,free_cash_flow,roa,roic,roa_yoy,roa_trend_2yr,roic_yoy,asset_turnover,asset_turnover_yoy,equity_multiplier,fcf_to_debt,ebitda_to_interest,company,year_y,label,label_name
923400000,3937200000,8108300000,510000000,0,298300000,353100000,3495900000,3049300000,2347600000,2000,0.23453215483084425,0.1138833047617873,0.0,413400000,1.1707731520815634,1.1464598432427116,0.3765782310694258,,,,0,,,,,,,,,,,,,0,0,0,COST,2000-02-13,181600000,7737000000,-108100000,2.239680327565581,4.602826811504753,,,,0.9542074170911289,,2.059407700904196,-0.11706735975741824,0.0,Costco Wholesale Corporation,2000,1,HOLD
925335000,4107659000,8198265000,527232000,0,197210000,255317000,3447023000,2961623000,2367481000,2000,0.22527064685749232,0.11286961326573366,0.0,398103000,1.5592498736864369,1.1638966201977767,0.3645102702133256,,,,0,,,,,-0.009261507973351929,-15297000.0,0.0,,,,,,0,0,0,COST,2000-05-07,120329000,6894608000,-50370000,1.4677373810190326,2.938757725520833,,,,0.840983793522166,,1.995848486936233,-0.054434339995785314,0.0,Costco Wholesale Corporation,2000,1,HOLD
799553000,4240280000,8633940000,524505000,0,326707000,408597000,3470118000,3404359000,2490088000,2000,0.18856136858886677,0.09260580916707783,0.0,275048000,0.6731522747352526,1.0193161179534826,0.28787504490566357,,,,1,,,,,-0.03670927826862555,-123055000.0,0.0,,,,-0.02744777029527362,0.21612139009240114,0,1,0,COST,2000-08-31,200182000,10589189000,-1093000,2.3185474997509825,4.8618724072801625,,,,1.2264608046847674,,2.0361721395756884,-0.0013670138189713502,0.0,Costco Wholesale Corporation,2000,1,HOLD
823687000,4326786000,9517757000,606935000,0,211827000,276530000,4074905000,4168181000,2993716000,2000,0.1903692486755758,0.08654213382417728,0.0,216752000,0.7838281560770983,0.977621893099172,0.2593910869033758,,,,0,,,,,0.0018078800867090405,-58296000.0,0.0,,,,0.03851715835533459,0.20140042137397832,1,1,0,COST,2000-11-26,129521000,7637278000,-262336000,1.3608353312655492,3.08457592147362,,,,0.8024241425789711,,2.199729082972904,-0.31848991182330183,0.0,Costco Wholesale Corporation,2000,1,HOLD
843487000,4559951000,9506282000,511657000,0,287368000,356284000,3760785000,3913416000,2723367000,2001,0.18497720699191725,0.08872943175891479,0.0,331830000,0.931363743530442,0.9609980129891634,0.2650926965086257,-0.049554947838927,-0.23940940855112136,-0.18546183025354812,0,-21.129276654908313,-20.44882974344483,,-16.176914642642647,-0.0053920416836585605,115078000.0,0.0,,,,-0.007199921770367601,0.18796927475211997,0,1,0,COST,2001-02-18,176577000,8306309000,-25179000,1.857476982063019,3.9886827608644717,-17.065084726533176,,-13.342758174286063,0.8737705235338064,-8.429707432219702,2.084733366652405,-0.029851082470743473,0.0,Costco Wholesale Corporation,2001,1,HOLD
920694000,4655250000,9575913000,558576000,0,174650000,257259000,3693205000,3887641000,2675311000,2001,0.19777541485419686,0.09614686348967456,0.0,362118000,1.4076009002600491,0.9499861226898265,0.2618281883538115,-0.027495232003295456,-0.15164897342638772,-0.21391049750795021,0,-12.205421517118086,-9.725764676052439,,-18.3788228091599,0.012798207862279615,30288000.0,0.0,,,,0.018190249545938175,0.19104062350722997,1,1,0,COST,2001-05-13,105257000,7718895000,62781000,1.0991850072155,2.3491537935101214,-25.110239649796963,,-20.063032991473186,0.8060740526777969,-4.151059879306585,2.0570136942162076,0.06818877933385034,0.0,Costco Wholesale Corporation,2001,1,HOLD
1053945000,4882940000,10089786000,602585000,0,318422000,403491000,3882457000,4112189000,2738504000,2001,0.21584229992586434,0.10445662574012968,0.0,451360000,1.118637094755521,0.944133890733135,0.2781859005021413,0.027280931336997577,0.44548482002026846,-0.07518222722034762,0,14.467932398433136,66.17890732011197,,-7.3757518296967195,0.018066885071667482,89242000.0,0.0,,,,0.0052686772093878675,0.1995316405906595,1,1,1,COST,2001-08-31,190734000,11134555000,-190252000,1.8903671495113972,4.022589287143005,-18.46761173905529,,-17.262549277936944,1.1035471911891888,-10.021813418421521,2.066334216680934,-0.18051416345255208,0.0,Costco Wholesale Corporation,2001,1,HOLD
1124701000,5002762000,11108813000,824471000,0,215354000,215354000,4688711000,5010480000,3283817000,2001,0.22481601163517273,0.10124403030278753,0.0,300230000,1.3941231646498324,0.9357808034359981,0.2803911002538679,0.03444676295959692,0.6102950085727341,-0.0418410896631739,0,18.094709728198044,77.86081730300904,,-4.27988468328312,0.008973711709308385,-151130000.0,0.0,,,,-0.009093173362359097,0.21281124213841132,1,1,1,COST,2001-11-25,129656000,8466553000,-84828000,1.1671454006832234,2.6359277893640485,-14.233164449235613,,-14.544888617792074,0.7621474049477653,-5.019382580109976,2.220535975926898,-0.07542271234754837,0.0,Costco Wholesale Corporation,2001,1,HOLD
995923000,5233997000,10889348000,774551000,0,319201000,319201000,4312756000,4558474000,3008636000,2002,0.19027962759627107,0.09145846013921127,0.0,221372000,0.6935191305791648,0.9460964349034348,0.28608696682266915,0.005302420604353819,-0.23784461295127723,-0.014901578085728673,1,2.866526471331965,-25.5372419855748,,-1.5506356812723943,-0.03453638403890166,-78858000.0,0.0,-0.04425252723457318,-0.4772540215023986,,-0.04351009574821005,0.21031264638576938,0,0,1,COST,2002-02-17,192556000,9382852000,131795000,1.7682968714012999,3.8427580129439862,-4.801142168807426,-0.47138345616428134,-3.6584696419641793,0.8616541596429832,-1.3866757420267217,2.0805032941363932,0.1323345278701265,0.0,Costco Wholesale Corporation,2002,1,HOLD
1222310000,5408138000,11147517000,841114000,0,216302000,286581000,4385553000,4328577000,3025324000,2002,0.226013093600792,0.1096486329646324,0.0,381196000,1.330150986980993,1.0131627553350675,0.3142439189599723,0.028237678746595135,-0.07744991327905604,0.06317663264524098,0,14.277648598240788,-5.502263693121212,,6.650269002494502,0.03573346600452093,159824000.0,0.0,0.0007424467432996795,-0.22909888670544376,,0.0702698500434226,0.2137029109440786,1,0,1,COST,2002-05-12,130370000,8616747000,41747000,1.1694981043760686,2.446689876762475,6.3968391762082355,-0.298239276642964,4.151966700597098,0.7729745556790808,-4.106260074835399,2.061248621984128,0.0341541834722779,0.0,Costco Wholesale Corporation,2002,1,HOLD
1314412000,5694237000,11620263000,805518000,0,380678000,492925000,4630539000,4449733000,3127221000,2002,0.23083197977182895,0.11311379097013553,0.0,508894000,1.032396409190039,1.0406329997777395,0.33784454033534145,0.01498967984596461,-0.08624068556548203,0.09649910904460446,0,6.944736898704806,-7.709442675359335,,10.220913579288137,0.004818886171036957,127698000.0,0.0,0.04227061118296219,0.3592441344547864,,-0.030914579833483974,0.21570823365629732,1,0,1,COST,2002-08-31,247401000,12296347000,-109076000,2.1290481979624727,4.073659559781065,12.626174154198955,-0.18949930178850982,1.2695870493488082,1.058181471452066,-4.110899841830628,2.0407058926419817,-0.08298463495464131,0.0,Costco Wholesale Corporation,2002,1,HOLD
1311055000,5835671000,12235455000,712854000,0,237792000,237792000,5069640000,4891736000,3676199000,2002,0.22466225392075737,0.10715212470643716,0.0,598201000,2.515648129457677,1.0363682749845862,0.28485613287389183,-0.00015375771441536457,1.1215249648078447,0.10058747154858805,1,-0.0683926884464392,80.44662001506464,,10.74904199565232,-0.006169725851071589,89307000.0,0.0,0.03429300524518156,1.7318199733805788,,-0.010988612022108546,0.22716910909779275,0,1,0,COST,2002-11-24,145729000,9198585000,17214000,1.1910386659098497,2.4954643566858445,2.047154126010331,-0.16979666535569948,-5.328804273204035,0.7517975424698141,-1.3579869734858696,2.0966663473660527,0.013129883948423217,0.0,Costco Wholesale Corporation,2002,1,HOLD
1356052000,6049142000,12342843000,1169002000,0,295060000,295060000,5060650000,4752661000,3218429000,2003,0.22417261819940745,0.10986544996156883,0.0,187050000,0.6339388598929031,1.064803485878753,0.38761885183900135,0.033892990603136386,-0.059580270686261705,0.1187070509753182,0,17.81220145913329,-8.591006081765274,,12.547035016301944,-0.0004896357213499125,-411151000.0,0.0,0.039195411207490205,-0.29742488363753894,-1.4945959390474162,0.005680090129721677,0.22655561729733123,0,0,1,COST,2003-02-16,182065000,10114167000,440076000,1.4750653475864515,2.988375456470148,-16.58270896461378,-0.38241163447656756,-22.23357686317814,0.8194357653257033,-4.89969134887861,2.0404287087325774,0.32452737800615317,0.0,Costco Wholesale Corporation,2003,1,HOLD
1389653000,6285944000,12598831000,1289472000,0,249586000,249586000,5199846000,4716419000,3251173000,2003,0.2210730798747173,0.11030015403810084,0.0,100181000,0.4013886996866811,1.1024987389797216,0.41316791404665276,-0.0049400137260746935,-0.928762287294312,0.08933598364465412,0,-2.185720148939807,-69.8238242413591,,8.817535304592727,-0.0030995383246901487,-86869000.0,0.0,0.02329766502052044,-1.006212200573368,-0.6250129250260139,-0.002609902603340236,0.22330265066496072,0,0,0,COST,2003-05-11,153780000,9543071000,10483000,1.2205894340514607,2.4387614409667417,4.368654338490741,0.12140442683596064,-0.32404743531389,0.7574568624660494,-2.007529626819171,2.004286229721423,0.007543609807628235,0.0,Costco Wholesale Corporation,2003,1,HOLD
1337070000,6554980000,13191688000,1545439000,0,374190000,498583000,5711538000,5011107000,3339428000,2003,0.2039777390625143,0.10135700601772873,0.0,-208369000,-0.4179223920590955,1.1397757022550108,0.47337045487154833,-0.026854240709314664,-1.4503188012491346,0.0991427024772713,1,-11.633674301047602,-140.48080643625778,,9.527153424737289,-0.017095340812203014,-308550000.0,0.0,-0.011864560863350054,-1.5365594868146166,2.654190823365865,-0.013995802487512865,0.21640781237887965,0,0,0,COST,2003-08-31,239426000,13689729000,228770000,1.8149762183581057,3.556015230516786,-14.75175526345237,-0.07539093115329143,-12.707108231992258,1.0377541524632783,-1.9304173754579934,2.0124680777058055,0.17109799786099456,0.0,Costco Wholesale Corporation,2003,1,HOLD
1320270000,6804759000,14326290000,1801520000,0,254818000,254818000,6617830000,5949786000,4079754000,2003,0.19402156637729565,0.09215714605805132,0.0,-481250000,-1.8886028459527977,1.1122803408391495,0.42658273759762116,-0.03064068754346172,-4.404250975410475,0.07591206585456334,1,-13.638556103095656,-175.0742054835762,,7.32481567478438,-0.009956172685218645,-272881000.0,0.0,-0.030794445257877084,-3.28272601060263,0.6354679014066278,0.007139168126984369,0.20635746177150907,0,1,0,COST,2003-11-23,160175000,10521478000,481203000,1.118049404277032,2.3521577584523086,-6.128202527922166,-0.049095996406191444,-5.742682633377994,0.734417493991815,-2.31179905442388,2.105333928798948,0.36447317594128475,0.0,Costco Wholesale Corporation,2003,1,HOLD
1356800000,7111791000,14277468000,2175937000,0,355176000,355176000,6499595000,5587470000,3642364000,2004,0.19078175947521517,0.09503085561109295,0.0,-819137000,-2.3062847714935693,1.1632447243564619,0.5113639983749353,-0.033390858724192285,-2.9402236313864725,0.09844123847770891,0,-14.895154900002206,-463.8023975818726,,9.245014670145268,-0.0032398069020804776,-337887000.0,0.0,0.0005021318789441009,-2.999803902072734,1.0352399832832315,0.006716365783138167,0.19626035497167504,0,0,0,COST,2004-02-15,226792000,11548974000,460563000,1.5884609231832985,3.145529167721053,7.6874950511439,-0.17983594821800142,5.2588342241484565,0.8088951066113403,-1.2863312977525854,2.007576994318309,0.3394479658018868,0.0,Costco Wholesale Corporation,2004,1,HOLD
