total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,year_x,debt_to_equity,debt_to_assets,interest_coverage,net_debt,net_debt_to_ebitda,current_ratio,quick_ratio,debt_to_equity_trend_1yr,net_debt_to_ebitda_trend_1yr,current_ratio_trend_1yr,is_deleveraging,debt_to_equity_yoy,net_debt_to_ebitda_yoy,interest_coverage_yoy,current_ratio_yoy,debt_to_equity_velocity_qoq,net_debt_velocity_qoq,interest_expense_velocity_qoq,debt_to_equity_trend_2yr,net_debt_to_ebitda_trend_2yr,debt_to_equity_cagr_3yr,debt_to_equity_acceleration_qoq,leverage_momentum_3q,is_leverage_increasing,is_liquidity_deteriorating,debt_growth_faster_than_equity,symbol,date,net_income,revenue,free_cash_flow,roa,roic,roa_yoy,roa_trend_2yr,roic_yoy,asset_turnover,asset_turnover_yoy,equity_multiplier,fcf_to_debt,ebitda_to_interest,company,year_y,label,label_name
21608000000,6983000000,99737000000,4340000000,303000000,498000000,559000000,20522000000,24569000000,0,1995,3.094372046398396,0.21664978894492515,1.6435643564356435,17268000000,30.89087656529517,0.8352802311856404,0.8352802311856404,,,,0,,,,,,,,,,,,,0,0,0,AXP,1995-03-31,353000000,3771000000,1034000000,0.35393083810421405,1.3063551467244936,,,,0.0378094388241074,,14.282829729342689,0.04785264716771566,1.844884488448845,American Express Company,1995,1,HOLD
22692000000,7154000000,104178000000,4754000000,319000000,572000000,681000000,22236000000,26068000000,0,1995,3.1719317864131953,0.21781950123826527,1.793103448275862,17938000000,26.340675477239355,0.8529998465551634,0.8529998465551634,,,,0,,,,,0.07755974001479915,670000000.0,16000000.0,,,,,,1,0,0,AXP,1995-06-30,410000000,3967000000,1955000000,0.39355718097870956,1.437378543188367,,,,0.03807905699859855,,14.562202963377132,0.08615371055878723,2.134796238244514,American Express Company,1995,1,HOLD
23447000000,7442000000,106312000000,4577000000,310000000,571000000,638000000,23057000000,26719000000,0,1995,3.1506315506584253,0.2205489502596132,1.8419354838709678,18870000000,29.57680250783699,0.862943972454059,0.862943972454059,,,,0,,,,,-0.021300235754770025,932000000.0,-9000000.0,,,,-0.09885997576956917,3.1389784611566722,0,0,0,AXP,1995-09-30,416000000,4054000000,674000000,0.39130107607795916,1.3864158762018841,,,,0.0381330423658665,,14.285407148615963,0.028745681750330532,2.0580645161290323,American Express Company,1995,1,HOLD
25224000000,8220000000,107405000000,3200000000,310000000,542000000,672000000,23114000000,27543000000,0,1995,3.0686131386861315,0.23484940179693684,1.7483870967741935,22024000000,32.773809523809526,0.8391968921323022,0.8391968921323022,,,,0,,,,,-0.08201841197229376,3154000000.0,0.0,,,,-0.060718176217523734,3.130392158585918,0,1,0,AXP,1995-12-31,385000000,4049000000,-956000000,0.358456310227643,1.2154646573376389,,,,0.03769843117173316,,13.066301703163017,-0.037900412305740566,2.167741935483871,American Express Company,1995,1,HOLD
26099000000,7992000000,107910000000,5629000000,291000000,565000000,602000000,23392000000,27641000000,0,1996,3.265640640640641,0.2418589565378556,1.9415807560137457,20470000000,34.00332225913621,0.846279078180963,0.846279078180963,0.17126859424224472,3.1124456938410425,0.010998846995322609,0,5.534841695638626,10.075614679506263,18.132323106860436,1.3167852637563593,0.19702750195450935,-1554000000.0,-19000000.0,,,,0.2790459139268031,3.1616284433283997,1,0,1,AXP,1996-03-31,396000000,3882000000,766000000,0.3669724770642202,1.2429966853421726,3.6847987109182245,,-4.850018124181899,0.035974423130386436,-4.853326975461359,13.502252252252251,0.029349783516609832,2.06872852233677,American Express Company,1996,1,HOLD
24984000000,7955000000,107647000000,4970000000,309000000,636000000,620000000,24347000000,31766000000,0,1996,3.140666247642992,0.23209193010487983,2.058252427184466,20014000000,32.28064516129032,0.766448403953913,0.766448403953913,-0.03126553877020344,5.939969684050968,-0.08655144260125036,1,-0.985693920157038,22.55055945388955,14.787154592979835,-10.1467125639926,-0.12497439299764901,-456000000.0,18000000.0,,,,-0.32200189495215836,3.158306675656588,0,1,0,AXP,1996-06-30,452000000,4044000000,3718000000,0.4198909398311147,1.448131394395701,6.691215438355758,,0.7480876390072,0.037567233643297074,-1.344107222298896,13.531992457573853,0.14881524175472302,2.0064724919093853,American Express Company,1996,1,HOLD
25134000000,8243000000,106667000000,4884000000,269000000,621000000,802000000,23344000000,26451000000,0,1996,3.0491325973553316,0.23563051365464482,2.308550185873606,20250000000,25.24937655860349,0.8825375222108804,0.8825375222108804,-0.10149895330309366,-4.3274259492335005,0.019593549756821482,0,-3.2215430992520333,-14.631148678383532,25.33284721905742,2.2705471481654804,-0.09153365028766025,236000000.0,-40000000.0,,,,0.03344074270998876,3.1518131618796548,0,0,0,AXP,1996-09-30,458000000,4056000000,-888000000,0.4293736582073181,1.3954219971836894,9.72974122917405,,0.649597363705734,0.03802488117224634,-0.28364165802039487,12.940312992842411,-0.03533062783480544,2.9814126394052045,American Express Company,1996,1,HOLD
24954000000,8528000000,108512000000,2677000000,247000000,843000000,907000000,23168000000,27957000000,0,1996,2.926125703564728,0.22996534945443822,3.4129554655870447,22277000000,24.561190738699008,0.8287012197303001,0.8287012197303001,-0.14248743512140338,-8.212618785110518,-0.01049567240200211,1,-4.643382162614717,-25.058480855404408,95.20593991365016,-1.250680561427464,-0.12300689379060348,2027000000.0,-22000000.0,,,,-0.03147324350294323,3.0386415161876843,0,1,0,AXP,1996-12-31,594000000,4255000000,905000000,0.5474048953111177,1.888328056866376,52.71174748283271,,55.35853267857094,0.039212253022707165,4.015609679028476,12.72420262664165,0.03626673078464374,3.672064777327935,American Express Company,1996,1,HOLD
23655000000,8382000000,108105000000,3170000000,195000000,640000000,734000000,22334000000,33693000000,0,1997,2.822118826055834,0.21881504093242682,3.282051282051282,20485000000,27.908719346049047,0.6628676579704983,0.6628676579704983,-0.4435218145848068,-6.094602913087165,-0.18341142021046475,1,-13.58146420231341,-17.923551312547502,69.04016337644656,-21.67268752580992,-0.10400687750889404,-1792000000.0,-52000000.0,-0.27225322034256205,-2.9821572192461225,,0.019000016281709442,2.932459042325298,0,1,0,AXP,1997-03-31,454000000,4164000000,1274000000,0.41996207390962487,1.4982676280550613,14.43966514037276,0.06603123580541082,20.536735594159495,0.03851810739558762,7.070813216328187,12.897279885468862,0.053857535404777,3.764102564102564,American Express Company,1997,1,HOLD
25542000000,8824000000,113927000000,3472000000,238000000,702000000,749000000,23437000000,34819000000,0,1997,2.894605621033545,0.22419619580959738,2.9495798319327733,22070000000,29.465954606141523,0.6731095091760246,0.6731095091760246,-0.24606062660944694,-2.8146905551488004,-0.09333889477788837,0,-7.834663323239477,-8.7194371149808,43.30505787220549,-12.178105440154441,0.07248679497771082,1585000000.0,43000000.0,-0.2773261653796504,3.125279128902168,,0.17649367248660486,2.880950050218036,1,0,0,AXP,1997-06-30,520000000,4422000000,997000000,0.4564326279108552,1.5320374789035676,8.702661718406702,0.06287544693214564,5.794093328311556,0.03881432847349619,3.319634450703357,12.911038077969176,0.03903374833607392,3.1470588235294117,American Express Company,1997,1,HOLD
26591000000,9118000000,117642000000,4614000000,241000000,718000000,777000000,25117000000,28235000000,0,1997,2.916319368282518,0.22603321942843543,2.979253112033195,21977000000,28.284427284427284,0.8895696830175315,0.8895696830175315,-0.13281322907281368,3.035050725823794,0.007032160806651033,0,-4.355770857194252,12.020299664744115,29.052993097734216,0.796811538282749,0.021713747248973014,-93000000.0,3000000.0,-0.23431218237590734,-1.2923752234097066,,-0.05077304772873781,2.877681271790632,1,0,0,AXP,1997-09-30,524000000,4500000000,1657000000,0.44541915302358004,1.50802318743174,3.7369537021096244,0.054118076945620874,8.06932888225267,0.03825164482072729,0.5963559687504505,12.902171528844045,0.062314316874130346,3.224066390041494,American Express Company,1997,1,HOLD
28443000000,9574000000,120003000000,4179000000,250000000,690000000,677000000,25953000000,30014000000,0,1997,2.9708585753081262,0.23701907452313692,2.76,24264000000,35.84047267355982,0.8646964749783435,0.8646964749783435,0.04473287174339813,11.279281934860816,0.03599525524804337,0,1.5287406036214701,45.923188557340566,-19.131672597864778,4.343574546657236,0.05453920702560833,2287000000.0,9000000.0,-0.09775456337800525,3.0666631497502976,,0.03282545977663531,2.9272611882080635,1,1,1,AXP,1997-12-31,493000000,4674000000,899000000,0.4108230627567644,1.3612331325459663,-24.950787565888866,0.052366752529121374,-27.91331317690148,0.03894902627434314,-0.6712869781075659,12.534259452684353,0.03160707379671624,2.708,American Express Company,1997,1,HOLD
26291000000,9425000000,120303000000,4342000000,226000000,614000000,551000000,24436000000,27875000000,0,1998,2.789496021220159,0.21853985353648703,2.7168141592920354,21949000000,39.83484573502722,0.8766278026905829,0.8766278026905829,-0.03262280483567492,11.926126388978176,0.21376014472008464,1,-1.1559685061620306,42.73261786433966,-17.222068584070794,32.24778613796817,-0.1813625540879671,-2315000000.0,-24000000.0,-0.4761446194204817,5.831523475891011,-3.3983808531167115,-0.23590176111357541,2.892224654936934,0,0,0,AXP,1998-03-31,460000000,4521000000,1343000000,0.38236785450071903,1.289338111770635,-8.951812971805651,0.015395377436498825,-13.944739402508677,0.037580110221690236,-2.435210962636336,12.76424403183024,0.05108211935643376,2.438053097345133,American Express Company,1998,1,HOLD
