operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year_x,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,symbol,date,cost_of_revenue,inventory,current_assets,current_liabilities,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dio,working_capital_to_revenue,company,year_y,label,label_name
1109000000,-75000000,1034000000,353000000,3771000000,-456000000,0,0,1995,2.9291784702549575,27.41978255104747,0,1566.2768496420047,,,,,,,AXP,1995-03-31,303000000,0,20522000000,24569000000,29.408644921771415,,27.41978255104747,1.988862370723946,,0.0,-1.0731901352426412,American Express Company,1995,1,HOLD
2030000000,-75000000,1955000000,410000000,3967000000,87000000,0,0,1995,4.7682926829268295,49.28157297706075,0,1608.5026468364001,,,21.86179042601328,89.0715667311412,83.0477908025248,,AXP,1995-06-30,319000000,0,22236000000,26068000000,51.17217040584825,,49.28157297706075,1.890597428787497,,0.0,-0.965969246281825,American Express Company,1995,1,HOLD
748000000,-74000000,674000000,416000000,4054000000,-425000000,0,0,1995,1.6201923076923077,16.6255550074001,0,1663.838184509127,,,-32.65601796966065,-65.52429667519182,-63.15270935960591,-54.51780839567393,AXP,1995-09-30,310000000,0,23057000000,26719000000,18.450912678835717,,16.6255550074001,1.8253576714356192,,0.0,-0.903305377405032,American Express Company,1995,1,HOLD
-833000000,-123000000,-956000000,385000000,4049000000,-1036000000,0,0,1995,-2.483116883116883,-23.610768090886637,0,1795.1617683378613,,0.0,-40.23632309828673,-241.83976261127594,-211.36363636363632,-7.58030512862608,AXP,1995-12-31,310000000,0,23114000000,27543000000,-20.572980982958754,,-23.610768090886637,3.0377871079278833,,0.0,-1.0938503334156582,American Express Company,1995,1,HOLD
854000000,-88000000,766000000,396000000,3882000000,-465000000,0,0,1996,1.9343434343434343,19.732096857290056,0,1670.142967542504,-7.6876856937574125,0.0,43.3428649481767,-180.1255230125523,-202.52100840336135,83.57918804646343,AXP,1996-03-31,291000000,0,23392000000,27641000000,21.99896960329727,-25.19556864379261,19.732096857290056,2.266872746007213,0.2780103752832672,0.0,-1.0945388974755281,American Express Company,1996,1,HOLD
3796000000,-78000000,3718000000,452000000,4044000000,3003000000,0,0,1996,8.225663716814159,91.93867457962413,0,1748.9132047477747,42.65710160256339,1.0,72.20657772233407,385.378590078329,344.4964871194379,28.863712774157378,AXP,1996-06-30,309000000,0,24347000000,31766000000,93.86745796241345,83.43458410684441,91.93867457962413,1.9287833827893175,0.038185954001820566,0.0,-1.8345697329376855,American Express Company,1996,1,HOLD
-755000000,-133000000,-888000000,458000000,4056000000,-2439000000,0,0,1996,-1.9388646288209608,-21.893491124260358,0,1661.2179487179487,-38.51904613166046,1.0,-113.8321657038845,-123.88380849919312,-119.88935721812435,-186.03874342621856,AXP,1996-09-30,269000000,0,23344000000,26451000000,-18.61439842209073,-200.8860577582297,-21.893491124260358,3.2790927021696255,1.4537350307340062,0.0,-0.7660256410256411,American Express Company,1996,1,HOLD
1044000000,-139000000,905000000,594000000,4255000000,461000000,0,0,1996,1.5235690235690236,21.26909518213866,0,1757.7473560517037,44.87986327302529,1.0,43.16258630639902,-201.91441441441444,-238.27814569536426,156.99475201028352,AXP,1996-12-31,247000000,0,23168000000,27957000000,24.535840188014102,-219.2624452836364,21.26909518213866,3.2667450058754404,0.22895789794755705,0.0,-1.125499412455934,American Express Company,1996,1,HOLD
1329000000,-55000000,1274000000,454000000,4164000000,257000000,0,0,1997,2.806167400881057,30.595581171950048,0,1679.8414985590778,10.863484314659992,0.0,9.326485989811388,40.77348066298343,27.29885057471264,-33.83610031658763,AXP,1997-03-31,195000000,0,22334000000,33693000000,31.9164265129683,45.081461034359414,30.595581171950048,1.3208453410182517,-0.9460274049889614,0.0,-2.72790585975024,American Express Company,1997,1,HOLD
1123000000,-126000000,997000000,520000000,4422000000,-751000000,0,0,1997,1.9173076923076924,22.54635911352329,0,1647.94776119403,-69.39231546610084,1.0,-8.049222058426757,-21.742543171114605,-15.500376222723855,-17.375708048238145,AXP,1997-06-30,238000000,0,23437000000,34819000000,25.39574853007689,-72.94509824667257,22.54635911352329,2.8493894165535956,0.9206060337642781,0.0,-2.5739484396200814,American Express Company,1997,1,HOLD
