symbol,date,label,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,year,debt_to_equity,debt_to_assets,interest_coverage,net_debt,net_debt_to_ebitda,current_ratio,quick_ratio,debt_to_equity_trend_1yr,net_debt_to_ebitda_trend_1yr,current_ratio_trend_1yr,is_deleveraging,debt_to_equity_yoy,net_debt_to_ebitda_yoy,interest_coverage_yoy,current_ratio_yoy,debt_to_equity_velocity_qoq,net_debt_velocity_qoq,interest_expense_velocity_qoq,debt_to_equity_trend_2yr,net_debt_to_ebitda_trend_2yr,debt_to_equity_cagr_3yr,debt_to_equity_acceleration_qoq,leverage_momentum_3q,is_leverage_increasing,is_liquidity_deteriorating,debt_growth_faster_than_equity,label_name,company,operating_cash_flow,free_cash_flow,net_income,revenue,capital_expenditures,gross_profit,eps,gross_margin,net_margin,cost_of_revenue,roa,roic,roa_yoy,roa_trend_2yr,roic_yoy,asset_turnover,asset_turnover_yoy,equity_multiplier,fcf_to_debt,ebitda_to_interest,year_x,year_y
AAL,2015-12-31,2,20561000000.0,5635000000.0,48415000000.0,390000000.0,229000000.0,1068000000,190000000.0,9985000000.0,13605000000.0,863000000.0,,3.6488021295474713,0.4246824331302282,4.663755458515284,20171000000.0,106.16315789473684,0.7339213524439544,0.6704887908857038,,,,0,,,,,,,,,,,,,0,0,0,BUY,,228000000.0,-1302000000.0,3281000000,9630000000,-1530000000.0,,,,,,6.776825364040071,3.0577187356848374,,,,0.1989052979448518,,8.591836734693878,-0.0633237682992072,0.8296943231441049,,
AAL,2016-03-31,2,21744000000.0,4710000000.0,49909000000.0,495000000.0,239000000.0,1335000000,1233000000.0,10802000000.0,15277000000.0,886000000.0,,4.61656050955414,0.4356729247229958,5.585774058577406,21249000000.0,17.233576642335766,0.7070759965961904,0.6490803168161288,,,,0,,,,,0.9677583800066688,1078000000.0,10000000.0,,,,,4.132681319550805,1,1,0,BUY,,2620000000.0,1063000000.0,700000000,9435000000,-1557000000.0,,,,,,1.402552645815384,3.7848718530278975,,,,0.1890440601895449,,10.596390658174098,0.0488870493009565,5.158995815899582,,
AAL,2016-06-30,2,22846000000.0,4312000000.0,51051000000.0,446000000.0,249000000.0,1751000000,1618000000.0,11184000000.0,14917000000.0,999000000.0,,5.2982374768089056,0.4475132710426828,7.032128514056225,22400000000.0,13.8442521631644,0.7497486089696319,0.6827780384795871,,,,0,,,,,0.6816769672547656,1151000000.0,10000000.0,,,,-0.2860814127519031,4.521200038636839,1,0,0,BUY,,2213000000.0,707000000.0,950000000,10363000000,-1506000000.0,,,,,,1.8608842138253905,4.835591722512703,,,,0.2029930853460265,,11.839285714285714,0.0309463363389652,6.497991967871486,,
AAL,2016-09-30,2,23343000000.0,4391000000.0,51108000000.0,381000000.0,250000000.0,1725000000,1338000000.0,11048000000.0,14533000000.0,1100000000.0,,5.316101115918925,0.4567386710495421,6.9,22962000000.0,17.161434977578477,0.7602009220394963,0.6845111126401981,,,,0,,,,,0.0178636391100193,562000000.0,1000000.0,,,,-0.6638133281447463,5.076966367427324,1,0,0,BUY,,1064000000.0,-144000000.0,737000000,10594000000,-1208000000.0,,,,,,1.442044298348595,4.66485180644696,,,,0.2072865304844642,,11.639262127078114,-0.0061688728955147,5.352,,
AAL,2016-12-31,2,24344000000.0,3785000000.0,51274000000.0,322000000.0,254000000.0,1026000000,753000000.0,10324000000.0,13872000000.0,1094000000.0,,6.431704095112285,0.4747825408589148,4.039370078740157,24022000000.0,31.90172642762284,0.744232987312572,0.6653690888119954,2.7829019655648137,-74.261431467114,0.0103116348686176,0,76.26891968268919,-69.95028495737276,-13.388038573829952,1.405005432023465,1.1156029791933602,1060000000.0,4000000.0,,,,1.0977393400833408,5.682014229280038,1,1,1,BUY,,627000000.0,-833000000.0,289000000,9789000000,-1460000000.0,,,,,,0.5636384912431252,2.7356109353336415,-91.68285353442978,,-10.534252107365704,0.1909154737293755,-4.016898643741273,13.54663143989432,-0.034217877094972,2.9645669291338583,,
AAL,2017-03-31,2,24543000000.0,3457000000.0,52627000000.0,374000000.0,257000000.0,722000000,513000000.0,10626000000.0,15286000000.0,1154000000.0,,7.09950824414232,0.4663575731088604,2.809338521400778,24169000000.0,47.113060428849906,0.6951458851236425,0.6196519691220724,2.48294773458818,29.87948378651414,-0.0119301114725478,0,53.78349811400997,173.3794696633815,-49.70547515994112,-1.6872460004269008,0.6678041490300348,147000000.0,3000000.0,,,,-0.4477988301633253,6.282437818391177,1,1,1,BUY,,2250000000.0,536000000.0,234000000,9624000000,-1714000000.0,,,,,,0.4446386835654702,1.9339285714285712,-68.29789705990135,,-48.903723916532904,0.1828719098561574,-3.2649268785271524,15.223315013017066,0.0218392209591329,1.9961089494163424,,
AAL,2017-06-30,1,24859000000.0,3715000000.0,53336000000.0,386000000.0,263000000.0,1802000000,1446000000.0,11016000000.0,16112000000.0,1206000000.0,,6.691520861372813,0.4660829458527074,6.85171102661597,24473000000.0,16.924619640387274,0.6837140019860973,0.608862959285005,1.3932833845639072,3.0803674772228735,-0.0660346069835345,0,26.297110891357644,22.250154366725926,-2.5656170401269884,-8.807566455412964,-0.4079873827695071,304000000.0,6000000.0,,,,-1.075791531799542,6.740911066875806,0,1,1,HOLD,,1688000000.0,208000000.0,803000000,11105000000,-1480000000.0,,,,,,1.5055497225138743,4.729824315811577,-19.094927490467583,,-2.187269165192607,0.2082083395830208,2.569178269350547,14.35693135935397,0.0083671909569974,5.498098859315589,,
AAL,2017-09-30,1,24684000000.0,3948000000.0,52401000000.0,340000000.0,266000000.0,1363000000,1171000000.0,10002000000.0,15307000000.0,1315000000.0,,6.2522796352583585,0.4710597126009045,5.12406015037594,24344000000.0,20.789069171648165,0.6534265368785523,0.5675181289606063,0.9361785193394336,3.627634194069689,-0.1067743851609439,1,17.610246662466068,21.13829175013171,-25.738258690203764,-14.045547968356251,-0.4392412261144542,-129000000.0,3000000.0,,,,-0.0312538433449471,6.681102913591164,0,1,1,HOLD,,369000000.0,-1000000000.0,624000000,10878000000,-1369000000.0,,,,,,1.1908169691418102,3.570305951383068,-17.42160968941704,,-23.463679029443085,0.207591458178279,0.1471044419056655,13.272796352583589,-0.0405120725976341,4.402255639097745,,
AAL,2017-12-31,1,25065000000.0,-780000000.0,52785000000.0,295000000.0,266000000.0,942000000,691000000.0,9146000000.0,15358000000.0,1359000000.0,,-32.13461538461539,0.474850809889173,3.5413533834586466,24770000000.0,35.846599131693196,0.5955202500325564,0.5070321656465686,-38.566319479727674,3.944872704070356,-0.1487127372800156,0,-599.6283241487399,12.36570288137948,-12.329068284746958,-19.982013672494936,-38.38689501987375,426000000.0,0.0,-35.783417514162856,-70.31655876304364,,-37.947653793759294,-6.396938295994739,0,1,1,HOLD,,437000000.0,-971000000.0,258000000,10601000000,-1408000000.0,,,,,,0.4887752202330208,2.909203211859172,-13.282143106477829,-6.28805014380705,6.345649313043089,0.200833570143033,5.195019670179546,-67.67307692307692,-0.0387392778775184,2.5977443609022557,,
AAL,2018-03-31,1,24739000000.0,-1018000000.0,53280000000.0,297000000.0,262000000.0,621000000,453000000.0,9673000000.0,17008000000.0,1455000000.0,,-24.30157170923379,0.4643205705705706,2.3702290076335877,24442000000.0,53.95584988962472,0.5687323612417686,0.4831843838193791,-31.40107995337611,6.842789460774817,-0.1264135238818738,1,-442.29936600587223,14.5241879820327,-15.63035249836121,-18.185179051932277,7.833043675381596,-328000000.0,-4000000.0,-28.91813221878793,36.72227324728895,,46.219938695255344,-16.727969152863608,1,1,1,HOLD,,1800000000.0,1021000000.0,186000000,10401000000,-779000000.0,,,,,,0.3490990990990991,1.9634501074996835,-21.487015862015863,-1.0534535467162849,1.52650602029758,0.1952139639639639,6.749015809762371,-52.33791748526522,0.0412708678604632,1.7290076335877862,,
