symbol,date,label,operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,label_name,company,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,gross_profit,eps,gross_margin,net_margin,cost_of_revenue,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dso,dio,dpo,ccc_detailed,working_capital_to_revenue,year_x,year_y
AAL,2015-12-31,2,228000000.0,-1530000000.0,-1302000000.0,3281000000,9630000000,352000000.0,,-1435000000.0,,-0.3968302346845473,-13.5202492211838,,27.4792315680166,,,,,,,BUY,,20561000000.0,5635000000.0,48415000000.0,390000000.0,229000000.0,1068000000.0,190000000.0,9985000000.0,13605000000.0,863000000.0,,,,,,2.3676012461059193,,-13.5202492211838,15.887850467289718,,,,,,-0.3759086188992731,,
AAL,2016-03-31,2,2620000000.0,-1557000000.0,1063000000.0,700000000,9435000000,0.0,,-1525000000.0,,1.5185714285714285,11.266560678325384,,16.364069952305243,,1.0,24.786809899509183,-181.64362519201228,1049.122807017544,,BUY,,21744000000.0,4710000000.0,49909000000.0,495000000.0,239000000.0,1335000000.0,1233000000.0,10802000000.0,15277000000.0,886000000.0,,,,,,27.768945416004236,,11.266560678325384,16.502384737678856,,,,,,-0.4742978272390037,,
AAL,2016-06-30,2,2213000000.0,-1506000000.0,707000000.0,950000000,10363000000,0.0,,-1711000000.0,,0.7442105263157894,6.822348740712149,,22.823506706552152,,1.0,-4.444211937613234,-33.4901222953904,-15.534351145038173,-29.23102183712242,BUY,,22846000000.0,4312000000.0,51051000000.0,446000000.0,249000000.0,1751000000.0,1618000000.0,11184000000.0,14917000000.0,999000000.0,,,,,,21.35482003280903,,6.822348740712149,14.532471292096885,,,,,,-0.3602238733957348,,
AAL,2016-09-30,2,1064000000.0,-1208000000.0,-144000000.0,737000000,10594000000,-5000000.0,,-695000000.0,,-0.1953867028493894,-1.3592599584670568,,38.93241457428734,,1.0,-8.181608699179206,-120.36775106082035,-51.920469950293715,-3.737396761565971,BUY,,23343000000.0,4391000000.0,51108000000.0,381000000.0,250000000.0,1725000000.0,1338000000.0,11048000000.0,14533000000.0,1100000000.0,,,,,,10.04342080422881,,-1.3592599584670568,11.402680762695866,,,,,,-0.328959788559562,,
AAL,2016-12-31,2,627000000.0,-1460000000.0,-833000000.0,289000000,9789000000,314000000.0,,-569000000.0,,-2.8823529411764706,-8.509551537439984,,40.86627847584023,5.010697683743816,0.0,-7.150291578972928,478.47222222222223,-41.07142857142857,1.0313171202062783,BUY,,24344000000.0,3785000000.0,51274000000.0,322000000.0,254000000.0,1026000000.0,753000000.0,10324000000.0,13872000000.0,1094000000.0,,,,,,6.405148636224334,170.53325160894883,-8.509551537439984,14.914700173664317,-0.9731502936254016,,,,,-0.3624476453161712,,
AAL,2017-03-31,2,2250000000.0,-1714000000.0,536000000.0,234000000,9624000000,-95000000.0,,-484000000.0,,2.2905982905982905,5.569409808811305,,25.372506234413976,-5.697150869514078,0.0,14.07896134625129,-164.34573829531814,258.8516746411483,21.229252925224216,BUY,,24543000000.0,3457000000.0,52627000000.0,374000000.0,257000000.0,722000000.0,513000000.0,10626000000.0,15286000000.0,1154000000.0,,,,,,23.379052369077307,-15.808641564028846,5.569409808811305,17.809642560266,1.3072578225871432,,,,,-0.4842061512884456,,
AAL,2017-06-30,1,1688000000.0,-1480000000.0,208000000.0,803000000,11105000000,1000000.0,,-529000000.0,,0.2590286425902864,1.8730301665916256,,27.116163890139585,-4.9493185741205235,1.0,-3.69637964221968,-61.19402985074627,-24.977777777777774,-17.77534098847097,HOLD,,24859000000.0,3715000000.0,53336000000.0,386000000.0,263000000.0,1802000000.0,1446000000.0,11016000000.0,16112000000.0,1206000000.0,,,,,,15.200360198108958,-28.820003283776263,1.8730301665916256,13.327330031517334,-1.2051412605795484,,,,,-0.4588923908149482,,
AAL,2017-09-30,1,369000000.0,-1369000000.0,-1000000000.0,624000000,10878000000,-162000000.0,,-359000000.0,,-1.6025641025641026,-9.19286633572348,,46.20380584666298,-7.833606377256423,0.0,-11.065896502315104,-580.7692307692307,-78.13981042654028,-7.369516860095425,HOLD,,24684000000.0,3948000000.0,52401000000.0,340000000.0,266000000.0,1363000000.0,1171000000.0,10002000000.0,15307000000.0,1315000000.0,,,,,,3.392167677881964,-66.22497708695346,-9.19286633572348,12.585034013605442,1.1823532509095769,,,,,-0.4876815591101305,,
AAL,2017-12-31,1,437000000.0,-1408000000.0,-971000000.0,258000000,10601000000,-486000000.0,,-243000000.0,,-3.763565891472868,-9.159513253466654,,48.99490614093009,-0.6499617160266702,0.0,0.0333530822568253,-2.9000000000000026,18.428184281842807,11.09924958457193,HOLD,,25065000000.0,-780000000.0,52785000000.0,295000000.0,266000000.0,942000000.0,691000000.0,9146000000.0,15358000000.0,1359000000.0,,,,,,4.122252617677578,-35.641577552718005,-9.159513253466654,13.281765871144232,-1.6329343025200842,,,,,-0.5859824544854259,,
AAL,2018-03-31,1,1800000000.0,-779000000.0,1021000000.0,186000000,10401000000,-24000000.0,,-461000000.0,,5.489247311827957,9.816363811172003,,46.00663397750216,4.246954002360698,1.0,18.97587706463866,-205.14933058702368,311.89931350114415,18.942523982381836,HOLD,,24739000000.0,-1018000000.0,53280000000.0,297000000.0,262000000.0,621000000.0,453000000.0,9673000000.0,17008000000.0,1455000000.0,,,,,,17.306028266512836,-25.976348428035767,9.816363811172003,7.489664455340833,-10.319978104925166,,,,,-0.7052206518603981,,
AAL,2018-03-31,0,1800000000.0,-779000000.0,1021000000.0,186000000,10401000000,-24000000.0,,-461000000.0,,5.489247311827957,9.816363811172003,,46.00663397750216,7.9433336445803775,1.0,0.0,0.0,0.0,-18.97587706463866,SELL,,24739000000.0,-1018000000.0,53280000000.0,297000000.0,262000000.0,621000000.0,453000000.0,9673000000.0,17008000000.0,1455000000.0,,,,,,17.306028266512836,13.8527511253703,9.816363811172003,7.489664455340833,-5.8376655761765015,,,,,-0.7052206518603981,,
AAL,2018-06-30,0,1094000000.0,-952000000.0,142000000.0,566000000,11643000000,-19000000.0,,-376000000.0,,0.2508833922261484,1.219616937215494,,44.20252512239114,10.412483272938974,1.0,-8.596746873956508,-86.09206660137122,-39.22222222222223,-8.596746873956508,SELL,,24076000000.0,-869000000.0,52622000000.0,293000000.0,263000000.0,1186000000.0,966000000.0,9176000000.0,16669000000.0,1522000000.0,,,,,,9.396203727561623,176.99703021250772,1.219616937215494,8.176586790346132,-4.40844722325931,,,,,-0.6435626556729366,,
