symbol,date,label,revenue_growth_yoy,revenue_growth_qoq,revenue_cagr_2yr,revenue_growth_vs_industry,revenue_growth_trend,operating_margin_change_1yr,operating_margin_momentum,roe_change_1yr,roe_trend_2yr,ocf_to_ni_ratio,fcf_to_ni_ratio,quality_of_earnings,reinvestment_rate,growth_capex_pct,revenue_growth_velocity,revenue_velocity_qoq,revenue_growth_acceleration,growth_momentum_positive,growth_deceleration_warning,operating_margin_trend_1yr,operating_margin_velocity_qoq,operating_margin_acceleration,margin_momentum_positive,is_margin_expanding,revenue_growth_trend_4q,is_growth_accelerating,label_name,gross_profit,net_income_growth_yoy,eps_growth_yoy,is_profitability_improving,eps,net_margin,company,eps_to_revenue,cost_efficiency,net_margin_trend_1yr,operating_income,gross_margin,net_income,gross_profit_growth_yoy,gross_margin_change_1yr,cost_of_revenue,revenue,year,total_debt,total_equity,total_assets,cash,interest_expense,ebitda,current_assets,current_liabilities,inventory,operating_cash_flow,free_cash_flow,capital_expenditures,sga_to_revenue,sga_to_revenue_trend,operating_margin,gross_margin_trend_2yr,operating_margin_trend_2yr,net_margin_trend_2yr,revenue_cagr_3yr,eps_cagr_3yr,roe_decomposed,earnings_stability,tax_rate,tax_rate_trend,operating_leverage,year_x,year_y
AAL,2015-12-31,2,,,,0,0,,,,,0.0694910088387686,-0.3968302346845473,0.0694910088387686,6.7105263157894735,50,,,,0,0,,,,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,20561000000.0,5635000000.0,48415000000.0,390000000.0,229000000.0,190000000.0,9985000000.0,13605000000.0,863000000.0,228000000.0,-1302000000.0,-1530000000.0,,,,,,,,,,,,,,,
AAL,2016-03-31,2,,-2.024922118380057,,0,0,,3.059100882080541,,-43.36338135364918,3.742857142857143,1.5185714285714285,3.742857142857143,0.5942748091603054,50,,-2.024922118380057,,0,0,,3.059100882080541,,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,21744000000.0,4710000000.0,49909000000.0,495000000.0,239000000.0,1233000000.0,10802000000.0,15277000000.0,886000000.0,2620000000.0,1063000000.0,-1557000000.0,,,,,,,,,,,,,,,
AAL,2016-06-30,2,,9.835718071012176,,0,0,,2.7472079875710467,,-18.09691860934097,2.329473684210526,0.7442105263157894,2.329473684210526,0.6805241753276096,50,,9.835718071012176,,0,0,,2.7472079875710467,-0.3118928945094943,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,22846000000.0,4312000000.0,51051000000.0,446000000.0,249000000.0,1618000000.0,11184000000.0,14917000000.0,999000000.0,2213000000.0,707000000.0,-1506000000.0,,,,,,,,,,,,,,,
AAL,2016-09-30,2,,2.229084242014867,,0,0,,-0.6138499629760297,,-11.715359242511369,1.4436906377204886,-0.1953867028493894,1.4436906377204886,1.1353383458646618,50,,2.229084242014867,,0,0,,-0.6138499629760297,-3.3610579505470763,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,23343000000.0,4391000000.0,51108000000.0,381000000.0,250000000.0,1338000000.0,11048000000.0,14533000000.0,1100000000.0,1064000000.0,-144000000.0,-1208000000.0,,,,,,,,,,,,,,,
AAL,2016-12-31,2,1.651090342679118,-7.598640740041529,,0,0,-0.609190365306091,-5.801649271981649,-50.58997420115597,-9.925761256868968,2.169550173010381,-2.8823529411764706,2.169550173010381,2.328548644338118,50,,-7.598640740041529,,0,0,-0.609190365306091,-5.801649271981649,-5.187799309005619,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,24344000000.0,3785000000.0,51274000000.0,322000000.0,254000000.0,753000000.0,10324000000.0,13872000000.0,1094000000.0,627000000.0,-833000000.0,-1460000000.0,,,,,,,,,,,,,,,
AAL,2017-03-31,2,2.0031796502384847,-1.6855654305853562,,0,1,-6.647365423219905,-2.979074175833273,-8.093121006825132,-8.12027138989249,9.615384615384617,2.2905982905982905,9.615384615384617,0.7617777777777778,50,0.3520893075593667,-1.6855654305853562,,0,0,-6.647365423219905,-2.979074175833273,2.822575096148376,1,0,,0,BUY,,,,,,,,,,,,,,,,,,,24543000000.0,3457000000.0,52627000000.0,374000000.0,257000000.0,513000000.0,10626000000.0,15286000000.0,1154000000.0,2250000000.0,536000000.0,-1714000000.0,,,,,,,,,,,,,,,
AAL,2017-06-30,1,7.160088777381057,15.388611803823782,,0,1,-0.6697267401345606,8.72484667065639,-0.4164658644566366,-5.014760294483578,2.1021170610211706,0.2590286425902864,2.1021170610211706,0.8767772511848341,50,5.156909127142573,15.388611803823782,4.804819819583206,1,0,-0.6697267401345606,8.72484667065639,11.703920846489662,1,0,,0,HOLD,,,,,,,,,,,,,,,,,,,24859000000.0,3715000000.0,53336000000.0,386000000.0,263000000.0,1446000000.0,11016000000.0,16112000000.0,1206000000.0,1688000000.0,208000000.0,-1480000000.0,,,,,,,,,,,,,,,
AAL,2017-09-30,1,2.6807626958655906,-2.0441242683475913,,0,0,-3.752924770212182,-3.6970479930536513,-0.9788604627176748,-3.787034221823397,0.5913461538461539,-1.6025641025641026,0.5913461538461539,3.710027100271003,50,-4.479326081515467,-2.0441242683475913,-9.63623520865804,0,0,-3.752924770212182,-3.6970479930536513,-12.421894663710042,0,0,,0,HOLD,,,,,,,,,,,,,,,,,,,24684000000.0,3948000000.0,52401000000.0,340000000.0,266000000.0,1171000000.0,10002000000.0,15307000000.0,1315000000.0,369000000.0,-1000000000.0,-1369000000.0,,,,,,,,,,,,,,,
AAL,2017-12-31,1,8.295025028092763,-2.5464239749954043,10.083073727933536,0,1,-1.5951981585532646,-3.643922660322731,-40.71232598313179,-4.203298529564721,1.693798449612403,-3.763565891472868,1.693798449612403,3.2219679633867275,50,5.614262332227172,-2.5464239749954043,10.09358841374264,1,0,-1.5951981585532646,-3.643922660322731,0.0531253327309197,1,0,6.643934685413645,1,HOLD,,,,,,,,,,,,,,,,,,,25065000000.0,-780000000.0,52785000000.0,295000000.0,266000000.0,691000000.0,9146000000.0,15358000000.0,1359000000.0,437000000.0,-971000000.0,-1408000000.0,,,,,,,,,,,,,,,
AAL,2018-03-31,1,8.07356608478802,-1.8866144703329923,10.238473767885536,0,0,-1.5314983860414335,-2.915374403321442,-25.039994589719445,-5.857958184634724,9.67741935483871,5.489247311827957,9.67741935483871,0.4327777777777777,50,-0.2214589433047429,-1.8866144703329923,-5.835721275531915,0,0,-1.5314983860414335,-2.915374403321442,0.7285482570012896,1,0,6.070386434549535,1,HOLD,,,,,,,,,,,,,,,,,,,24739000000.0,-1018000000.0,53280000000.0,297000000.0,262000000.0,453000000.0,9673000000.0,17008000000.0,1455000000.0,1800000000.0,1021000000.0,-779000000.0,,,,,,,,,,,,,,,
