revenue,year,revenue_growth_yoy,revenue_growth_qoq,revenue_cagr_2yr,revenue_growth_vs_industry,revenue_growth_trend,operating_margin_change_1yr,operating_margin_momentum,roe_change_1yr,roe_trend_2yr,ocf_to_ni_ratio,fcf_to_ni_ratio,quality_of_earnings,reinvestment_rate,growth_capex_pct,revenue_growth_velocity,revenue_velocity_qoq,revenue_growth_acceleration,growth_momentum_positive,growth_deceleration_warning,operating_margin_trend_1yr,operating_margin_velocity_qoq,operating_margin_acceleration,margin_momentum_positive,is_margin_expanding,revenue_growth_trend_4q,is_growth_accelerating,net_income,gross_profit,cost_of_revenue,operating_income,eps,gross_margin,net_margin,cost_efficiency,eps_to_revenue,net_income_growth_yoy,gross_profit_growth_yoy,eps_growth_yoy,gross_margin_change_1yr,net_margin_trend_1yr,is_profitability_improving,symbol,date,company,operating_cash_flow,free_cash_flow,capital_expenditures,total_debt,total_equity,total_assets,cash,interest_expense,ebitda,current_assets,current_liabilities,inventory,operating_margin,gross_margin_trend_2yr,operating_margin_trend_2yr,net_margin_trend_2yr,roe_decomposed,earnings_stability,operating_leverage,year_x,year_y
2159000000,2025,-0.5527406725011508,0.9822263797941932,-4.931748128577718,0,1,156.45970324644475,5.7626157347730995,25.187277360697404,1.5583431755048474,1.4478114478114479,0.8585858585858586,1.4478114478114479,0.4069767441860465,50,1.2838066185915986,0.9822263797941932,-1.2274721772721708,0,1,156.45970324644475,5.7626157347730995,7.404318875690063,1,1,3.8506058708718145,1,297000000,1061000000,1098000000,493000000,0.88,49.14312181565539,13.756368689207967,50.8568781843446,0.40759610930986573,-112.09283387622149,0.5687203791469253,-112.15469613259668,0.5480043582624887,126.88395966111031,1,SIRI,2025-09-30,Sirius XM,430000000,255000000,-175000000,10077000000,11556000000,27401000000,79000000,115000000,644000000,1084000000,3461000000,0,22.83464566929134,-0.4825937281579087,-0.4150240797179059,3.452537777715234,0.02570093457943925,9.684766847252513,211.66189819602465,2025,2025
2138000000,2025,-1.8365472910927494,3.3849129593810368,-4.977777777777781,0,1,-4.553314418098839,-1.6417031409169631,16.196642710094423,1.1259890701976583,2.6634146341463416,1.9560975609756097,2.6634146341463416,0.26556776556776557,50,2.5112787958637695,3.3849129593810368,2.488475512190913,1,0,-4.553314418098839,-1.6417031409169631,2.7250025405034073,1,0,1.3634527089072535,0,205000000,1000000000,1138000000,365000000,0.61,46.77268475210477,9.588400374181479,53.22731524789523,0.2853133769878391,-32.56578947368421,-5.926622765757294,-20.779220779220786,-2.033559508684945,-4.36935903812339,0,SIRI,2025-06-30,Sirius XM,546000000,401000000,-145000000,10197000000,11329000000,27326000000,92000000,116000000,511000000,1045000000,2570000000,0,17.07202993451824,-1.9384263590063355,-4.216858954370647,-4.1893774035963,0.018095154029481864,8.935106025569072,12.254140127388506,2025,2025
2068000000,2025,-4.347826086956519,-5.484460694698356,-3.5447761194029814,0,1,-0.20393574972668205,-4.36670568142037,10.216103602077942,0.6776956985056554,1.1862745098039216,0.25980392156862747,1.1862745098039216,0.78099173553719,50,0.022803283672856445,-5.484460694698356,-0.00991388907073354,0,1,-0.20393574972668205,-4.36670568142037,-161.07220201542935,0,0,-5.187378325762482,0,204000000,964000000,1104000000,387000000,0.6,46.61508704061896,9.864603481624759,53.38491295938105,0.2901353965183752,2.5125628140703515,-6.859903381642507,1.6949152542372836,-1.257253384912957,0.6601631485997821,1,SIRI,2025-03-31,Sirius XM,242000000,53000000,-189000000,10466000000,11212000000,27426000000,127000000,117000000,541000000,1045000000,2479000000,0,18.713733075435204,-1.4259577355004396,-0.5026848350125555,-1.0029338318080772,0.018194791295041025,10.253021444371154,1.2371638141809305,2025,2025
2188000000,2024,-4.370629370629375,0.7830492860432914,-4.161191414805076,0,1,0.5716974981143181,156.70549633400898,0.8846295336228482,-0.28660305777588096,2.3658536585365852,1.7909407665505226,2.3658536585365852,0.24300441826215022,50,0.032717172743589984,0.7830492860432914,1.2360637161165524,1,0,0.5716974981143181,156.70549633400898,311.95589826377943,1,0,-4.589639445092808,0,287000000,1050000000,1138000000,505000000,0.85,47.98903107861061,13.117001828153565,52.0109689213894,0.3884826325411334,66.86046511627907,8.247422680412363,88.88888888888889,5.593926183505715,5.599519310671049,1,SIRI,2024-12-31,Sirius XM,679000000,514000000,-165000000,10423000000,11074000000,27521000000,162000000,117000000,645000000,1149000000,2731000000,0,23.080438756855575,-2.1642759735137886,-1.5362936128334326,-2.870733607676481,0.025916561314791402,10.682692325067277,0.4442718446601935,2024,2024
2171000000,2024,-4.403346543372965,-0.3213957759412356,-4.780701754385963,0,0,-156.87472732616266,-155.25040192977048,-14.528694445442728,-1.2352773569196145,-0.09771986970684039,-0.009771986970684038,0.09771986970684039,0.9,50,-1.2033465433729624,-0.3213957759412356,2.8362056954330033,1,0,-156.87472732616266,-155.25040192977048,-157.95807745722567,0,0,-4.008609701267707,0,-2456000000,1055000000,1116000000,-2901000000,-7.24,48.5951174573929,-113.12759097190235,51.40488254260709,-3.3348687240902812,-1149.5726495726497,-6.388642413487133,-870.2127659574469,-1.0305980864203974,-123.43142188339509,0,SIRI,2024-09-30,Sirius XM,240000000,24000000,-216000000,10726000000,10859000000,27483000000,127000000,124000000,-2719000000,1133000000,3061000000,0,-133.6250575771534,-1.9750579812035838,-154.10751371750428,-123.96092430523568,-0.2261718390275348,12.046382783954744,147.48596590909082,2024,2024
2178000000,2024,-3.200000000000003,0.7400555041628065,-3.3288948069240987,0,0,0.3364554637281927,2.7076755274551942,-4.422485712803583,-0.14251028872003213,1.6085526315789473,1.0394736842105263,1.6085526315789473,0.3537832310838446,50,-4.039552238805966,0.7400555041628065,-4.660094403148496,0,0,0.3364554637281927,2.7076755274551942,6.2987479610345645,1,0,-3.0668442077230407,0,304000000,1063000000,1115000000,471000000,0.77,48.80624426078972,13.957759412304869,51.19375573921029,0.35353535353535354,-1.9354838709677469,-3.0109489051094895,-3.749999999999998,0.09513314967860964,0.17998163452709015,1,SIRI,2024-06-30,Sirius XM,489000000,316000000,-173000000,9390000000,-2113000000,11185000000,100000000,102000000,725000000,1100000000,2558000000,0,21.62534435261708,-0.7277104662409073,-0.3897466371743086,0.9972622973470351,-0.14387127307146239,0.24717796511901272,0.5219206680584539,2024,2024
2162000000,2024,0.8395522388059629,-5.50699300699301,-1.0978956999085132,0,1,-0.2987490852858734,-3.5910724335793702,-1.247192131364879,0.554995033918574,1.3266331658291457,0.45226130653266333,1.3266331658291457,0.6590909090909091,50,0.6205421643425302,-5.50699300699301,0.006795247773838664,1,0,-0.2987490852858734,-3.5910724335793702,-2.85014394331138,0,0,2.7608697136458527,0,199000000,1035000000,1127000000,409000000,0.59,47.87234042553192,9.204440333024976,52.12765957446809,0.272895467160037,-14.592274678111583,0.4854368932038833,-1.6666666666666718,-0.16870435058748257,-1.6630969804078592,0,SIRI,2024-03-31,Sirius XM,264000000,90000000,-174000000,9577000000,-2370000000,11174000000,71000000,104000000,604000000,1078000000,3088000000,0,18.917668825161886,-2.7680987327480437,-4.412614797893923,-4.930966803297075,-0.08396624472573838,0.24431547742285203,-0.8673139158576123,2024,2024
2288000000,2023,0.21901007446343268,0.7485689123734041,0.3068829460762812,0,1,-2.1079911109477507,-0.74092849026799,12.599297561747667,0.7969346949666352,3.3197674418604652,2.563953488372093,3.3197674418604652,0.2276707530647986,50,0.6137469165686915,0.7485689123734041,0.8753279663969882,1,0,-2.1079911109477507,-0.74092849026799,-2.7017093503883487,0,0,0.13132923272736186,0,172000000,970000000,1318000000,515000000,0.45,42.39510489510489,7.517482517482517,57.60489510489511,0.1966783216783217,-52.87671232876712,-15.283842794759828,-52.127659574468076,-7.758202157019504,-8.47025291834753,0,SIRI,2023-12-31,Sirius XM,571000000,441000000,-130000000,11490000000,10076000000,30056000000,306000000,104000000,555000000,1361000000,3951000000,0,22.508741258741257,-8.152900365745609,1.6845413464220975,-6.467611739422351,0.01707026597856292,0.2230165580803588,-38.18540925266776,2023,2023
2271000000,2023,-0.39473684210525883,0.9333333333333416,3.3212010919017265,0,0,2.76721360865837,1.9607808601203587,-1.257737244921369,0.24598253035086365,2.1367521367521367,1.3333333333333333,2.1367521367521367,0.376,50,-0.26158104982829666,0.9333333333333416,-2.0497427323912243,0,0,2.76721360865837,1.9607808601203587,-0.11169011832076947,0,1,-4.1254010823236325,0,234000000,1127000000,1144000000,528000000,0.94,49.6257155438133,10.303830911492733,50.3742844561867,0.41391457507705853,-5.263157894736848,-2.254986990459673,56.666666666666664,-0.9444598947831864,-0.5295024218406006,0,SIRI,2023-09-30,Sirius XM,500000000,312000000,-188000000,9685000000,-2893000000,10129000000,53000000,134000000,663000000,1041000000,3158000000,0,23.249669749009247,-1.784657522610722,-5.321758822419323,-5.301264629908539,-0.08088489457310749,0.16277193228922618,-33.09064953604607,2023,2023
2250000000,2023,-0.13315579227696217,4.944029850746268,4.214914312181572,0,1,-0.7262021009025013,2.072470978441128,-1.8059380458654282,0.5205870975099534,1.4548387096774194,1.0419354838709678,1.4548387096774194,0.2838137472283814,50,1.7881616825629276,4.944029850746268,3.7971599991388882,1,0,-0.7262021009025013,2.072470978441128,7.472785437682376,1,0,-4.48702332354144,0,310000000,1096000000,1154000000,479000000,0.8,48.71111111111111,13.777777777777779,51.288888888888884,0.35555555555555557,6.164383561643838,-1.7921146953404965,8.108108108108114,-0.8228436159195169,0.8172806628199449,1,SIRI,2023-06-30,Sirius XM,451000000,323000000,-128000000,9776000000,-3111000000,10078000000,51000000,107000000,629000000,1039000000,3235000000,0,21.288888888888888,-1.682589676290462,-9.188183829962433,-6.277803509855385,-0.09964641594342653,0.14763084673648258,25.739919354839092,2023,2023
